NEUT0|"""Think of a break and none of these financial advice."
NEUT1|Stay tuned.
NEUT2|Hello everyone and welcome in this new video today you have be angio be another genomics.
NEUT3|These not financial advice but I advise you to smash that like and subscribe button to stay tuned and to check out what is going on in the stock market.
NEUT4|Especially with this high volatility volatility stocks.
NEUT5|So we're seeing that be NGO is forming a W pattern right here and if you are following the channel you should already have been loading on your position.
NEUT6|At this.
NEUT7|Bottom part of this channel right here.
NEUT8|You had three chances and Rhino is consolidating for going out of this channel and then testing the moving averages and hopefully going even further.
NEUT9|I do expect jog behind you to trade around $50 in two years time, so that's my price prediction and variable should be on Geo.
NEUT10|Stay tuned to the channel for more videos.
NEUT11|And Please remember to smash the like and subscribe button and check out the links in the description for free Bitcoin.
NEUT12|I will add $7.00 when you get $50.00 for all of Bitcoin for free, so that's much more profitable for you than for me.
NEUT13|Just wanted to say that because people think that I'm making millions out of this, but that's not the case.
NEUT14|So if you like the NGO and other stock chart analysis, remember to smash the like and to check out the other videos on the channel piece.
BULL15|"Hello everyone and welcome this new video today we have another image."""
