NEUT0|"""He's selling investors and welcome back to another video."
NEUT1|So today we're going to talk about this stock on idea nomics I believe I'm pronouncing it correctly.
BULL2|The ticker is IDX and this is a very hot stock right now that it's been growing very fast, especially in 2021.
NEUT3|Already it is absolutely crazy how it continues to grow, so we're going to talk about that.
NEUT4|But if you guys are new here, you guys enjoy the short videos.
NEUT5|You know I do these every single day.
BEAR6|Definitely drop a like and subscribe on top of that guys.
NEUT7|Don't forget to claim your free stocks here on we won't OK we will now we partner up bring you 4 free stocks I have to do these mirrorlink down section below and I'm giving away $50 to a random person.
NEUT8|OK you guys can see that I got three stocks are like around $100.
NEUT9|I just want to give back to you know someone random that signs up OK once again link down below deposit $100 to clean your four free stocks.
NEUT10|So what is going on with this stock?
NEUT11|You know there's a lot of big news and I'm very excited to see where this talk actually goes.
NEUT12|This year, so if we just analyze the chart right here, right now very quickly, yes.
NEUT13|Can see that this stock was actually added like round two years ago and you guys can see that it really wasn't performing as well.
BEAR14|It did drop as low as like around 3020 cents.
NEUT15|Absolutely crazy, right?
BEAR16|And then we did have a spike and then it dropped in Courier.
NEUT17|Now it's going back up again and a lot of people aren't interested in it.
NEUT18|And here's the reason why OK, but First things first yes, and see that for like literally this year 2020.
BULL19|It's already up more than 50.
NEUT20|Percent OK, absolutely crazy.
NEUT21|So what is going on with this stock?
NEUT22|So just to give you guys an understanding of this stock.
NEUT23|If you guys don't really know.
NEUT24|Or yes, I have no idea what it is.
NEUT25|Yes it's over here.
NEUT26|It's a global company you know focuses on, you know, pretty much you know adoption of commercial electric vehicles and developing the next generation financial service.
NEUT27|OK, so that's really the main thing and there's a lot of things when it comes to pretty much, you know electric vehicle stocks yet, so in 2020 it's ridiculous how high these stocks.
NEUT28|And a lot of them continue to grow OK, so one thing is need to understand is this song is is just going so fast you know very rapidly.
BEAR29|Obviously there's going to be a huge pull back where we're starting to see one already right?
NEUT30|An you know a lot of things going on right here.
NEUT31|You have to see that you know they're trying to reach a deal to acquire wireless advanced vehicle electrification.
NEUT32|You know things to do, you know with no charging solutions, heavy duty electric vehicles and everything like that.
NEUT33|But one thing that's very certain is.
NEUT34|Should you buy this stock?
NEUT35|OKA lot of people are interested in this and here's one thing that this article tells us OK and Investors are starting to know we were trying to understand.
NEUT36|Is it a good time to buy?
BEAR37|You know this potential electric vehicles stock market right now is just ridiculous.
NEUT38|You know everything is just going up right?
NEUT39|Are we in a good spot right now with this stock to buy and this is what they have to say?
NEUT40|OK, big investors right now.
NEUT41|OK, huge investors.
NEUT42|They're pretty much saying look there are other stocks out there right now.
NEUT43|This software here is not one that will work pretty much going to invest in because it's not a very good stable stock at the moment.
NEUT44|It's one of those penny stocks that you know are just growing and eventually goes back to a penny stock.
NEUT45|But you know right now it's it's kind of risky, so let me know down in the comments section below.
NEUT46|What do you guys think about this stock?
NEUT47|Do you guys think it's definitely a buy or do you guys think it's definitely a stock that we should be really very careful with?
NEUT48|Let me know down in the comments section below, but I hope you guys enjoy.
NEUT49|"If you do give it a big thumbs up and I will see you guys on my next video."""
