NEUT0|"""Welcome back subscribers."
NEUT1|So I wanted to make a very quick video 'cause I've gotten a lot of private messages on Robin Hood's one for you, one for me Stock Exchange for signing up because people are telling me that they never give away a share of Apple or Berkshire Hathaway.
NEUT2|Anne.
NEUT3|In this video I'm just going to show some proof that I've actually gotten both before, but I recently just got Berkshire Hathaway.
NEUT4|I've had many of $2.00, five dollars, $10.
NEUT5|An whatever I receive you receive as well for signing up, but I just wanted to prove that they in fact do give away some high dollar stock.
BULL6|Big shout out to Zeb R for signing up for Robin Hood and starting his journey as option trading.
BULL7|Hopefully sign up for my channel an I've helped him grow as a traitor, but he in fact also did get a share Berkshire Hathaway.
NEUT8|So this is the screen that you get every time somebody uses your referral link.
NEUT9|And they received the exact same stock that you did as well.
NEUT10|So my next screenshot is just over the month of January.
NEUT11|What some of the shares I've received from referrals from people signing up and keep in mind they've gotten all of these as well.
NEUT12|This is just been in the last 16 days, so I've gotten anywhere between $3 to $200 with an average of around $710.
NEUT13|But right now I've got all of my assets in cash just because of the video I posted a few weeks ago, just stating that we're under some of the.
NEUT14|Major indexes in the 200 day moving average, so now is not a super time to really be investing, but you can still be trading options in this market.
NEUT15|So I'm finished there.
NEUT16|You have it proof that Robin Hood in fact does what they say and I hope everyone that watches my videos tries to help people as well because I'm a firm believer that the best way to learn is to give back to somebody else.
NEUT17|So if you have a buddy, a friend that is interested in options, hopefully you can learn what I've taught you and then you can provide them with information as well to help them become wealthy.
NEUT18|Just grow as an individual.
NEUT19|It doesn't have to necessarily be.
BULL20|A cash flow to be wealthy, but you know knowledge is power OK and hopefully you guys can use your referral links to them as well.
BULL21|You know and grow your bottom line too, so hope you guys enjoyed this video.
NEUT22|I'm going to make more.
BULL23|"I know this was a very simplistic, very simple one, but thank you subscribers and I can't do without you."""
