NEUT0|"""How long will come to this technology video here?"
BEAR1|It's not come today according to the British pound with the US dollar and elite time frame having a look at the chart now, the pair has been in red over the last two weeks and is holding be loaded to Bernie and for ESA maze within the Gmail cloud.
BEAR2|There aside down here, it's flattering below the 50 level while the market is losing momentum beneath is triggered line.
BULL3|More downside pressure.
NEUT4|School challenge.
NEUT5|The significant support.
BEAR6|Of the three eight point 2% people, not retracement level of the upward way from one one point 1957 to one point 3515 around one point 2920 and 1.29 psychological level taking formulators low.
BEAR7|And break below these lines and the supportive Upton line could lead prices until the one point 2820 level.
BEAR8|On the other side, now and job obviously made screwed up in the way for the 23.6% people of one point, 3155 around the upper surface of the Gmail cloud.
NEUT9|Even higher, the unfair 32 general systems which coincides with the Blue King Johnson Line could be another crucial level before a potential rally tools run for 30.
NEUT10|Two 8585 barrier holds.
BULL11|Briefly, Gbpusd could look further steam in the short term, catching the ascending trendline before reversing higher again.
NEUT12|So that's all from me.
NEUT13|Thank you for watching.
BULL14|"Have a great day."""
