NEUT0|"""The latest stock to join the public markets exploded out of the gates."
BULL1|What happened shares of Roblox NYSD RBLX soared 54% on Wednesday, marking a successful first day of trading for the popular video game developer.
NEUT2|So what Roblox went public via a direct listing rather than the traditional initial public offering IPO process.
NEUT3|A direct listing allows the company's existing investors to sell shares directly to the public without the need for an investment bank to underwrite the offering.
BULL4|We love the direct listing for Roblox, because we're all going to come together in that first trade is going to be at the same price for everyone bouzouki said during an interview with Bloomberg Television.
BULL5|Roblox is shares soared during its stock market debut.
NEUT6|Image source.
NEUT7|Getty Images.
BULL8|The New York Stock Exchange said a direct listing reference price of $45.00 for Roblox is shares that value the game developer at $30 billion, a steep increase from the $4 billion valuation investors assigned to the company in a funding round in February 2020.
BULL9|Still, investors apparently thought Roblox's shares were worth much more, and they bid their price up another 54% on Wednesday.
BULL10|Now what Roblox has enjoyed tremendous growth during the coronavirus pandemic.
NEUT11|As parents sought out safer forms of entertainment for their children.
BULL12|More than 8,000,000 developers use Roblox is tools to design 3D virtual experiences for the platforms, 37 million users, the company's revenue, in turn, rocketed 82% to $923.9 million in 2020.
BULL13|Looking ahead, Roblox sees its revenue rising as much as 64% to $1.5 billion in 2021.
BEAR14|However, it cautions that growth could slow as the COVID-19 crisis subsides and children have more forms of entertainment available to them once again.
BULL15|We headed into 2020 with strong organic growth, which was further bolstered by social distancing restrictions, Chief Financial Officer Michael Guthrie said on March 2nd.
BEAR16|As those restrictions ease, we expect the rates of growth in 2021 will be well below the rates in 2020.
NEUT17|This article represents the opinion of the writer who may disagree with the official recommendation position of a Motley Fool premium advisory service.
NEUT18|Where Motley questioning an investing thesis, even one of our own helps us all think critically about investing and make decisions that help us become smarter, happier, and richer.
BULL19|"Motley Fool returns stock advisors and P 500,561 percent 119% cumulative growth of a $10,000 investment in stock advisor calculated by Time weighted return."""
