NEUT0|"""BNGO stock analysis and predictions, February 8th."
NEUT1|In today's BN Geo stock analysis and predictions, B NGO gets new high price target.
NEUT2|Alright, let's get started.
BEAR3|The last few months have been a breakout.
NEUT4|For Bio Nano Genomics.
BULL5|Be NGO the share price has gone stratospheric as investors have cottoned on to the potential of its genome imaging system suffer and the impact Bio Nano can have in the world of cytogenetics, Oppenheimer analyst Kevin de Geeter believes technical developments could lead to reduce COGS cost of goods sold per genome.
BULL6|Which in turn could help the next Gen platform gain deeper market penetration since the 2017 launch of Safa, there has been steady improvement in both laser optics and photon capture components from OEM's.
BULL7|The five star analyst said be NGO is launching an aggressive initiative to combine these improved components with new informatics workflow to support a stepwise increase in throughput from 5000 genomes per year to 68,004 modules at 17,000 and chip cost from $500 to $100 per genome, while cytogenetics remains the bull case main driver.
BULL8|The optical imaging platforms addressable market could expand via newly planned studies in other verticals, including prenatal, Pediatrics, hematology, and solid tumors.
BULL9|Daghita also believes the recent equity raises, which totaled more than $380 million, give the company balance sheet flexibility.
NEUT10|Therefore, the analyst is more focused on the company's progress than near term revenue prospects.
BULL11|The strength and balance sheet allows Bionano to aggressively invest in both commercial infrastructure expansion and next generation optical imaging technologies.
BULL12|Daghita thinks that by 2026, three four years into the launch of Next Generation platform offering up to 80% reduction in per genome disposable cost, the company can deliver revenue of $353.1 million.
NEUT13|Overall, the analyst estimates the cytogenetics Tam total addressable market.
NEUT14|Could reach more than $1.5 billion.
BULL15|To this end, Daghita reiterates a buy rating on Bionano shares and boosts the price target up from $1.50 all the way to a street high of $15.
NEUT16|Investors could be pocketing.
BULL17|Gains of 29% should be gears thesis.
NEUT18|Play out over the coming months.
NEUT19|That's Oppenheimer's take.
BEAR20|What about the rest of the streets view to other analysts agree by providing additional buy ratings while one hold can't detract from a strong buy consensus rating, however, the $10.94 average price target is dragged down by the ladders depressed objective.
BULL21|And therefore shares are anticipated to remain range bound for the foreseeable future.
NEUT22|That's what's been happening this week in the world of BN Geo.
NEUT23|Stock analysis and predictions.
NEUT24|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to all investments right now so that next week you'll get the inside scoop on the latest developments to keep you in your business on the leading edge of the NGO stock analysis and predictions.
NEUT25|If you enjoyed this edition of BN Geo stock analysis and predictions, Leave a comment and please hit the like or share button.
BULL26|We'd really appreciate it.
NEUT27|Are you still watching and want more?
NEUT28|"Check out last week's been Geo stock analysis and predictions by checking out our BN Geo stock analysis playlist."""
