NEUT0|"""GME, stock, GameStop stock analysis, January 30th."
NEUT1|In today's GME stock GameStop stock analysis investors will make billions on GameStop.
NEUT2|Alright, let's get started.
NEUT3|Here's a game many people would like to play.
NEUT4|How to make a billion bucks in a month and nine investors just pulled it off with GameStop GME stock 9 investors including large fund running institutions like Fidelity, FMR and BlackRock Block.
BULL5|Plus some well positioned individuals like Chewy CHWY co-founder Ryan Cohen watched the value of their GameStop holding saw more than $1 billion.
NEUT6|That's based on an investor's business daily analysis of the most current Holdings reported to S&P Global Market Intelligence.
BEAR7|It's possible some of these investors may have boosted or cut their stakes, since the rally all told, these nine investors made a total of $16 billion on their GameStop Stakes just this year.
BULL8|The rally in GameStop is breathtaking.
BULL9|Shares of the struggling mall based videogame seller up more than 1600%.
BULL10|Just this year, GameStop, by far, is the Top Stock in the S&P 1500 index this month.
BEAR11|The stock is rallying as individual investors pour into the stock big investors, heavily shorting the stock are now forced to buy it to closeout.
NEUT12|Their positions, big index funds, big holders of GameStop GME stock Gamestop's financial future isn't all that bright, but it's still a member of the S&P Smallcap 600 Index and Russell 2000.
BEAR13|As a result, large index, small cap funds and ETF's are forced to own it that's looking smart.
NEUT14|Now Fidelity FMR is the top Holder of GameStop shares.
NEUT15|It owns 9.5 million shares through September or nearly 14% of shares outstanding.
BULL16|Adding that up and Fidelity hauled in a $3 billion gain just this year for its investors.
BULL17|Similarly, BlackRock scored $2.7 billion in Vanguard $1.7 billion as they own 12.3% and 7.6% of GameStop, respectively.
BULL18|Well positioned individuals.
NEUT19|Chewy co-founder Ryan Cohen keeps finding himself in the right place at the right time.
NEUT20|He is the single largest individual owner of GameStop.
NEUT21|Shares after a January 10th, 2021 transaction.
NEUT22|He now owns 9 million shares or nearly 13% of shares outstanding.
BULL23|That translates into a practically overnight gain of $2.9 billion this year.
NEUT24|Cohen is also on Gamestop's board of directors as well as Chewy and PetSmart, but right now it's the GameStop position that matters most.
NEUT25|That's what's been happening this week in the world of GME, stock, GameStop, stock analysis.
NEUT26|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to all investments right now so that next week you'll get the inside scoop on the latest developments to keep you and your business on the leading edge of GME.
NEUT27|Stock GameStop stock analysis.
NEUT28|If you enjoyed this edition of GME stock, GameStop stock analysis, Leave a comment and please hit the like or share button.
BULL29|We'd really appreciate it.
NEUT30|Are you still watching and want more?
NEUT31|"Check out last week's GME stock GameStop stock analysis by checking out our GME stock playlist."""
